Lexema                   Token          PTS       Línea     
clase                    -1             -1        1         
@MiClase                 -55            -2        1         
{                        -49            -1        1         
++                       -27            -1        2         
+                        -21            -1        2         
--                       -28            -1        2         
-                        -22            -1        2         
+=                       -29            -1        2         
-=                       -30            -1        2         
*=                       -32            -1        2         
*                        -23            -1        2         
<                        -33            -1        2         
<                        -33            -1        2         
<=                       -34            -1        2         
==                       -38            -1        2         
>                        -36            -1        2         
>                        -36            -1        2         
>                        -36            -1        2         
&&                       -40            -1        3         
||                       -41            -1        3         
var                      -6             -1        4         
$x                       -56            -2        4         
=                        -26            -1        4         
10                       -59            -1        4         
;                        -42            -1        4         
var                      -6             -1        5         
%y                       -58            -2        5         
=                        -26            -1        5         
2.5                      -60            -1        5         
;                        -42            -1        5         
metodo                   -16            -1        6         
vacio                    -11            -1        6         
(                        -47            -1        6         
)                        -48            -1        6         
{                        -49            -1        6         
escribir                 -7             -1        7         
(                        -47            -1        7         
"Hola mundo"             -61            -1        7         
)                        -48            -1        7         
;                        -42            -1        7         
leer                     -2             -1        8         
(                        -47            -1        8         
)                        -48            -1        8         
;                        -42            -1        8         
sino                     -17            -1        9         
{                        -49            -1        9         
$z                       -56            -2        10        
=                        -26            -1        10        
;                        -42            -1        10        
}                        -50            -1        11        
}                        -50            -1        12        
=                        -26            -1        13        
mientras                 -18            -1        14        
(                        -47            -1        14        
$x                       -56            -2        14        
<=                       -34            -1        14        
>                        -36            -1        14        
10                       -59            -1        14        
)                        -48            -1        14        
{                        -49            -1        14        
;                        -42            -1        15        
}                        -50            -1        16        
}                        -50            -1        17        
